date,open,high,low,close,volume
27/05/1994,8.5246,8.5949,8.4542,8.4542,246400
31/05/1994,8.5949,8.5949,8.4542,8.5246,316400
01/06/1994,8.5246,8.5246,8.3892,8.4542,596900
02/06/1994,8.5246,8.5246,8.3243,8.4542,1466100
03/06/1994,8.4542,8.4542,8.3243,8.4542,413500
06/06/1994,8.4542,8.5246,8.3892,8.3892,374200
07/06/1994,8.3892,8.7248,8.3892,8.6599,368600
08/06/1994,8.6599,8.7952,8.5949,8.6599,236900
09/06/1994,8.6599,8.6599,8.3892,8.4542,366600
10/06/1994,8.4542,8.5246,8.3243,8.4542,351600
13/06/1994,8.4542,8.4542,8.2539,8.3243,363800
14/06/1994,8.3243,8.3892,8.2539,8.3892,578700
15/06/1994,8.3243,8.3892,8.2539,8.3243,397900
16/06/1994,8.2539,8.7952,8.1836,8.7952,824500
17/06/1994,8.7248,8.7952,8.5949,8.7248,687700
20/06/1994,8.7248,8.7952,8.5949,8.7248,459100
21/06/1994,8.6599,8.7952,8.6599,8.7248,835300
22/06/1994,8.7248,8.8655,8.7248,8.7952,543400
23/06/1994,8.7952,8.8655,8.7248,8.7952,317500
24/06/1994,8.7248,8.7952,8.5949,8.6599,241600
27/06/1994,8.5949,8.5949,8.3892,8.5246,308800
28/06/1994,8.5246,8.5949,8.1186,8.5246,474800
29/06/1994,8.5949,8.6599,8.5246,8.6599,258600
30/06/1994,8.6599,8.6599,8.5246,8.5949,205500
01/07/1994,8.7248,8.7952,8.5949,8.7952,420200
05/07/1994,8.7248,8.8655,8.6599,8.8655,437300
06/07/1994,8.7952,9.0658,8.6599,8.7248,799400
07/07/1994,8.7248,8.8655,8.5949,8.7952,297800
08/07/1994,8.7952,8.8655,8.5246,8.5949,956700
11/07/1994,8.5246,8.6599,8.4542,8.6599,413700
12/07/1994,8.6599,8.6599,8.5246,8.6599,244600
13/07/1994,8.6599,8.6599,8.2539,8.4542,563400
14/07/1994,8.3892,8.5246,8.3243,8.5246,475000
15/07/1994,8.5246,8.6599,8.4542,8.6599,318000
18/07/1994,8.6599,8.8655,8.5949,8.7248,379100
19/07/1994,8.7248,8.7248,8.5949,8.6599,414500
20/07/1994,8.6599,8.7248,8.5949,8.7248,201000
21/07/1994,8.6599,8.7248,8.5949,8.6599,333200
22/07/1994,8.5949,8.7248,8.5949,8.7248,237200
25/07/1994,8.6599,8.7248,8.5949,8.7248,337600
26/07/1994,8.6787,8.7006,8.4055,8.4055,564500
27/07/1994,8.4055,8.4711,8.1978,8.1978,1020600
28/07/1994,8.1978,8.3344,8.1978,8.2634,522100
29/07/1994,8.2634,8.2634,8.1322,8.2634,419300
01/08/1994,8.2634,8.2634,8.1322,8.1978,283400
02/08/1994,8.1978,8.2634,8.0612,8.0612,635100
03/08/1994,8.0612,8.1322,8.0612,8.1322,332300
04/08/1994,8.0612,8.2634,8.0612,8.2634,382800
05/08/1994,8.1978,8.4711,8.1978,8.4711,528800
08/08/1994,8.4055,8.5366,8.4055,8.4711,762400
09/08/1994,8.4711,8.5366,8.3344,8.4055,585900
10/08/1994,8.4055,8.4055,8.3344,8.4055,194000
11/08/1994,8.4055,8.4711,8.2634,8.3344,343900
12/08/1994,8.3344,8.3344,8.2634,8.2634,740300
15/08/1994,8.3344,8.4711,8.3344,8.4711,412800
16/08/1994,8.4711,8.5366,8.3344,8.4055,529000
17/08/1994,8.4711,8.5366,8.3344,8.4711,711300
18/08/1994,8.1978,8.4711,8.1978,8.4055,517700
19/08/1994,8.4055,8.4711,8.3344,8.4055,442000
22/08/1994,8.4055,8.4711,8.3344,8.4055,225400
23/08/1994,8.3344,8.4055,8.2634,8.3344,314000
24/08/1994,8.4055,8.5366,8.2634,8.5366,390000
25/08/1994,8.6077,8.7443,8.5366,8.6077,525800
26/08/1994,8.5366,8.6077,8.4711,8.4711,281900
29/08/1994,8.5366,8.7443,8.4711,8.6787,483400
30/08/1994,8.6787,9.0832,8.6077,9.0176,825000
31/08/1994,9.0176,9.2253,8.7443,8.881,801400
01/09/1994,8.881,8.881,8.7443,8.881,440100
02/09/1994,8.881,8.952,8.7443,8.8099,210400
06/09/1994,8.8099,8.881,8.5366,8.6787,483300
07/09/1994,8.6787,8.952,8.6077,8.952,519400
08/09/1994,8.952,9.3564,8.952,9.0832,1205600
09/09/1994,8.952,9.5641,8.881,9.4985,1770200
12/09/1994,9.9029,10.1762,9.6297,9.7007,2812400
13/09/1994,9.7718,9.8374,9.7007,9.8374,1078400
14/09/1994,9.8374,9.8374,9.6297,9.7007,593500
15/09/1994,9.7007,9.7718,9.6297,9.7718,545200
16/09/1994,9.7007,9.7718,9.6297,9.7718,738400
19/09/1994,9.8374,9.8374,9.6297,9.7718,480600
20/09/1994,9.4985,9.5641,9.2253,9.4985,674300
21/09/1994,9.3564,9.3564,9.0176,9.3564,580400
22/09/1994,9.3564,9.4985,9.2908,9.3564,302000
23/09/1994,9.3564,9.3564,9.1542,9.2908,288200
26/09/1994,9.2908,9.4275,9.2253,9.4275,265800
27/09/1994,9.4275,9.4985,9.1542,9.2908,287800
28/09/1994,9.2908,9.3564,9.2253,9.2908,275600
29/09/1994,9.2253,9.2908,9.1542,9.2908,260400
30/09/1994,9.2908,9.5641,9.2253,9.4985,276200
03/10/1994,9.4275,9.4985,9.1542,9.3564,494900
04/10/1994,9.3564,9.3564,9.1542,9.2253,440000
05/10/1994,9.2253,9.2253,9.0176,9.1542,462000
06/10/1994,9.0832,9.2253,9.0832,9.1542,236400
07/10/1994,9.1542,9.2908,9.1542,9.2908,307800
10/10/1994,9.2908,9.3564,9.1542,9.2908,354600
11/10/1994,9.2908,9.4275,9.1542,9.2908,479200
12/10/1994,9.2253,9.3564,9.1542,9.2908,181900
13/10/1994,9.2908,9.3564,9.1542,9.2253,344400
14/10/1994,9.2253,9.2908,9.0832,9.2253,247600
17/10/1994,9.1542,9.4275,9.1542,9.4275,420600
18/10/1994,9.4985,9.4985,9.2253,9.2908,270900
19/10/1994,9.1542,9.1542,8.952,9.0832,692400
20/10/1994,9.0832,9.0832,8.8099,8.952,580300
21/10/1994,8.881,8.881,8.6787,8.881,453200
24/10/1994,8.881,8.881,8.7443,8.8099,428700
25/10/1994,8.7443,8.881,8.6077,8.7443,345400
26/10/1994,8.6924,8.7641,8.3447,8.4164,664000
